City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Turbat,PK,81.75,broken clouds,26.0023,63.044,Mubashar Quarters
197,Saint Anthony,US,79.66,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
198,Rosario,AR,84.11,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
199,Oussouye,SN,87.98,broken clouds,12.485,-16.5469,Auberge du Routard
200,Caravelas,BR,75.13,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
203,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
209,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
212,Chirongui,YT,75.13,clear sky,-12.9319,45.1483,La Villa Mahatsara
213,Cuca,RO,77.65,clear sky,45.7333,27.8833,În Râpă la Moldoveanu
214,Touros,BR,79.83,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
215,Trincomalee,LK,82.02,overcast clouds,8.5711,81.2335,Welcombe Hotel
216,Kendallville,US,78.66,overcast clouds,41.4414,-85.265,Best Western Kendallville Inn
218,Bayir,TR,77.52,clear sky,37.2687,28.2167,Hotel Babadag
228,Reconquista,AR,81.77,overcast clouds,-29.15,-59.65,Grand Hotel
229,Saint George,US,86.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
230,Varna,BG,76.87,clear sky,43.2167,27.9167,Golden Tulip Varna
243,Tamandare,BR,76.6,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
247,Sheopur,IN,78.6,heavy intensity rain,25.6667,76.7,Shri Ram Dharmshala
250,Bandarbeyla,SO,76.51,few clouds,9.4942,50.8122,JABIR HOTEL
251,Dingle,PH,76.48,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
257,Galle,LK,77.94,overcast clouds,6.0367,80.217,Amangalla
259,Bafoulabe,ML,85.73,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
260,Porto Torres,IT,82.58,clear sky,40.835,8.3972,Hotel Elisa
262,Balkhash,KZ,77.67,clear sky,46.844,74.9804,Family
267,Chone,EC,84.67,broken clouds,-0.6833,-80.1,Ciudadela Gonzalez
268,Yining,CN,79.75,broken clouds,29.0361,114.5636,Xiushui Hotel
273,Digha,IN,82.2,overcast clouds,21.6833,87.55,Khoniker Atithi
274,Premia De Mar,ES,85.66,broken clouds,41.4921,2.3652,Hotel Vila de Premià
275,Arrecife,ES,87.78,clear sky,28.963,-13.5477,Hotel Lancelot
277,Sao Pedro,BR,84.24,clear sky,-22.5486,-47.9139,Hotel Fazenda Samambaia
284,Freeport,US,83.5,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
286,Niquero,CU,89.29,few clouds,20.0431,-77.5828,Islazul Niquero
287,Deer Lake,CA,75.06,broken clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
291,Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
295,Santa Isabel Do Rio Negro,BR,86.02,moderate rain,-0.4139,-65.0192,Hotel GSA
300,Hamadan,IR,81.48,clear sky,34.7992,48.5146,Parsian BuAli Hotel
306,Bakreswar,IN,80.19,scattered clouds,23.8833,87.3667,Bakreswar Youth Hostel
307,Maragogi,BR,75.9,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
309,Lipnita,RO,83.52,clear sky,44.1,27.6,Hotel Dionis
311,Jalingo,NG,76.78,overcast clouds,8.8833,11.3667,Debright Motel
319,Contai,IN,81.5,light rain,21.7786,87.7536,PATHFINDER
322,Cefalu,IT,84.54,clear sky,38.0386,14.0229,Hotel La Giara
325,Nouadhibou,MR,85.98,clear sky,20.931,-17.0347,El Medina
327,Ramat Yishay,IL,76.15,clear sky,32.7006,35.1797,Zimmer & Spa Kesem Hamaga
329,Bhagalpur,IN,82.09,overcast clouds,25.25,87.0,Rajhans International Hotel
332,Burriana,ES,85.05,broken clouds,39.889,-0.085,Hotel Beatriz
334,Bubaque,GW,80.04,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
340,Noyakert,AM,79.14,clear sky,39.8312,44.669,Arevacaxikneri dasht
341,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
344,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
345,Turayf,SA,88.05,clear sky,31.6725,38.6637,Turaif
358,Bahar,IR,82.56,clear sky,34.9072,48.4414,هتل ولفجر
