City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hobe Sound,US,27.0595,-80.1364,88.95,73,40,11.5,scattered clouds
79,Novoagansk,RU,61.9449,76.6625,59.07,95,14,6.4,few clouds
80,Alibag,IN,18.6411,72.8792,80.67,83,100,3.13,overcast clouds
81,Muros,ES,42.7762,-9.0603,77.68,59,4,14.5,clear sky
82,Ilulissat,GL,69.2167,-51.1,48.22,87,75,6.91,broken clouds
83,Franklin,US,39.9667,-83.0166,77.22,78,100,4.61,overcast clouds
84,Richards Bay,ZA,-28.783,32.0377,58.14,80,0,6.93,clear sky
85,Viedma,AR,-40.8135,-62.9967,49.93,97,100,5.84,overcast clouds
86,Straumen,NO,63.8709,11.2999,55.4,92,100,16.11,light rain
87,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,81,52,6.04,light rain
88,Coquimbo,CL,-29.9533,-71.3436,58.73,72,0,9.22,clear sky
89,Tyssedal,NO,60.1165,6.562,54.88,99,100,6.51,overcast clouds
90,Kampene,CD,-3.6,26.6667,75.45,50,27,1.5,scattered clouds
91,Oeiras,BR,-7.0253,-42.1311,93.49,21,99,9.31,overcast clouds
92,Novomykolayivka,UA,47.9781,35.9102,64.02,84,4,7.07,light rain
93,Jalu,LY,29.0331,21.5482,92.08,18,6,10.42,clear sky
94,Ponta Do Sol,PT,32.6667,-17.1,81.23,55,4,6.08,clear sky
95,Taltal,CL,-25.4,-70.4833,62.22,72,40,5.19,scattered clouds
96,Phalaborwa,ZA,-23.943,31.1411,63.68,50,0,3.94,clear sky
97,Panaba,MX,21.2833,-88.2667,90.77,52,100,7.09,overcast clouds
98,Quatre Cocos,MU,-20.2078,57.7625,69.1,81,5,11.88,light rain
99,Pokaran,IN,26.9167,71.9167,79.92,87,95,13.89,overcast clouds
100,Guane,CU,22.2025,-84.0875,90.55,50,20,9.66,few clouds
101,Bereda,ES,43.2686,-7.5406,65.41,85,68,6.55,broken clouds
102,Chalus,IR,36.655,51.4204,74.66,88,20,2.3,few clouds
103,Mar Del Plata,AR,-38.0023,-57.5575,60.1,97,100,9.22,mist
104,Mollendo,PE,-17.0231,-72.0147,63.41,74,69,9.6,broken clouds
105,Goderich,CA,43.7501,-81.7165,73.9,53,0,8.05,clear sky
106,Veshenskaya,RU,49.6303,41.7334,68.76,73,55,2.28,broken clouds
107,Codrington,AU,-38.2667,141.9667,49.98,94,36,9.15,scattered clouds
108,Marechal Candido Rondon,BR,-24.5561,-54.0567,79.57,45,0,5.23,clear sky
109,Dwarka,IN,22.2394,68.9678,82.29,83,100,16.02,overcast clouds
110,Darnah,LY,32.767,22.6367,80.04,75,0,16.2,clear sky
111,Chuy,UY,-33.6971,-53.4616,64.54,87,90,5.68,overcast clouds
112,Gwadar,PK,25.1216,62.3254,82.26,83,60,14.94,broken clouds
113,Vila Do Maio,CV,15.1333,-23.2167,84.99,75,98,2.37,overcast clouds
114,Urumqi,CN,43.801,87.6005,77.95,29,0,0.0,clear sky
115,Praia Da Vitoria,PT,38.7333,-27.0667,78.76,94,40,4.74,scattered clouds
116,Tias,ES,28.9611,-13.645,85.68,48,0,26.46,clear sky
117,Offa,NG,8.15,4.7167,71.91,96,44,5.61,scattered clouds
118,Kutum,SD,14.2,24.6667,87.91,24,78,6.06,broken clouds
119,Cockburn Town,TC,21.4612,-71.1419,87.76,66,40,18.41,scattered clouds
120,Harnosand,SE,62.6323,17.9379,62.01,87,15,8.37,few clouds
121,Drezdenko,PL,52.8383,15.8308,68.45,76,10,6.04,clear sky
122,Blagoyevo,RU,63.3667,47.9167,55.58,62,25,3.87,scattered clouds
123,Kandi,BJ,11.1342,2.9386,79.81,75,100,3.91,overcast clouds
124,Ugoofaaru,MV,5.6667,73.0,81.25,79,53,16.24,broken clouds
125,Kismayo,SO,-0.3582,42.5454,75.52,80,8,19.15,clear sky
126,Faya,SA,18.3851,42.4509,68.11,57,100,4.52,overcast clouds
127,Geraldton,AU,-28.7667,114.6,43.21,87,0,10.36,clear sky
128,Bengkulu,ID,-3.8004,102.2655,75.9,87,100,3.6,overcast clouds
129,Barahona,DO,18.2085,-71.1008,91.22,70,20,17.27,few clouds
130,Luderitz,NA,-26.6481,15.1594,56.46,80,39,4.76,scattered clouds
131,Bentiu,SS,9.2333,29.8333,73.83,91,100,4.63,overcast clouds
132,Amarante Do Maranhao,BR,-5.5667,-46.7422,94.64,24,100,6.04,overcast clouds
