City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bektemir,UZ,2022-05-08 10:21:48,41.2097,69.3342,93.25,21,0,9.22
67,Porbandar,IN,2022-05-08 10:16:53,21.6422,69.6093,90.52,53,0,17.76
68,Vestmanna,FO,2022-05-08 10:21:49,62.1564,-7.1664,47.32,93,100,14.97
69,Vardo,NO,2022-05-08 10:21:50,70.3705,31.1107,33.78,64,75,18.41
70,East London,ZA,2022-05-08 10:17:53,-33.0153,27.9116,67.14,68,20,16.11
71,Necochea,AR,2022-05-08 10:16:52,-38.5473,-58.7368,58.8,80,24,14.72
72,Victoria,HK,2022-05-08 10:18:28,22.2855,114.1577,80.65,79,100,7.0
73,Tocopilla,CL,2022-05-08 10:21:52,-22.092,-70.1979,61.3,81,43,4.03
74,Los Llanos De Aridane,ES,2022-05-08 10:21:53,28.6585,-17.9182,69.12,77,40,16.11
75,Abhar,IR,2022-05-08 10:21:53,36.1468,49.218,63.88,22,2,15.5
76,Saint-Philippe,RE,2022-05-08 10:21:54,-21.3585,55.7679,80.19,80,52,9.93
77,Zyryanovsk,KZ,2022-05-08 10:21:55,49.7386,84.2719,59.94,32,3,3.49
78,Hazorasp,UZ,2022-05-08 10:21:55,41.3194,61.0742,76.84,21,100,10.94
79,Dukhovnitskoye,RU,2022-05-08 10:21:56,52.4828,48.2137,58.15,37,10,8.7
80,Hearst,CA,2022-05-08 10:21:56,49.6835,-83.6665,34.05,69,81,6.24
81,Lodja,CD,2022-05-08 10:21:57,-3.4833,23.4333,85.03,58,99,3.51
82,San Cristobal,VE,2022-05-08 10:21:58,7.7669,-72.225,73.58,96,97,1.99
83,Hobyo,SO,2022-05-08 10:21:58,5.3505,48.5268,89.01,62,66,15.1
84,Port Alfred,ZA,2022-05-08 10:21:59,-33.5906,26.891,63.18,83,93,8.99
85,Tromso,NO,2022-05-08 10:22:00,69.6496,18.957,34.38,86,75,5.75
86,Longyearbyen,SJ,2022-05-08 10:17:32,78.2186,15.6401,19.24,58,20,23.02
87,Safranbolu,TR,2022-05-08 10:22:01,41.2508,32.6942,65.16,42,16,2.57
88,Ikom,NG,2022-05-08 10:22:01,5.9667,8.7063,89.94,57,100,0.38
89,Sao Joao Da Barra,BR,2022-05-08 10:22:02,-21.6403,-41.0511,71.69,90,5,10.36
90,Bonavista,CA,2022-05-08 10:22:02,48.6499,-53.1147,33.26,73,6,16.62
91,Grindavik,IS,2022-05-08 10:23:03,63.8424,-22.4338,49.95,100,75,20.71
92,Kajiado,KE,2022-05-08 10:23:04,-1.8524,36.7768,76.39,47,75,7.23
93,Miracema Do Tocantins,BR,2022-05-08 10:23:04,-9.5618,-48.3967,72.7,79,52,3.13
94,Rutana,BI,2022-05-08 10:23:05,-3.8667,30.1,67.37,76,51,6.69
95,Sailana,IN,2022-05-08 10:23:06,23.4667,74.9167,106.38,9,3,10.47
96,Puerto Narino,CO,2022-05-08 10:23:07,-3.7703,-70.3831,71.13,100,100,2.13
97,Laguna,US,2022-05-08 10:23:08,38.421,-121.4238,52.09,74,0,5.75
98,Bathsheba,BB,2022-05-08 10:23:08,13.2167,-59.5167,81.21,74,20,14.97
99,Alakurtti,RU,2022-05-08 10:23:09,66.9672,30.3491,40.26,59,98,12.41
100,Itapuranga,BR,2022-05-08 10:23:10,-15.5622,-49.9486,69.42,84,79,3.67
101,Ngama,TD,2022-05-08 10:23:10,11.7833,17.1667,100.85,25,60,4.45
102,Lebu,CL,2022-05-08 10:23:11,-37.6167,-73.65,53.11,94,27,5.53
103,Tasiilaq,GL,2022-05-08 10:17:52,65.6145,-37.6368,35.76,66,100,5.06
104,Hualmay,PE,2022-05-08 10:23:12,-11.0964,-77.6139,63.63,92,72,9.06
105,Elmira,US,2022-05-08 10:23:12,42.0898,-76.8077,36.79,89,0,0.0
106,Yarada,IN,2022-05-08 10:23:13,17.65,83.2667,89.92,66,40,13.8
